resident_id,fsa_context,source_da,area,HID,person_uid,sex,age_group,education_level,labour_force_status,household_income,family_status,household_size,household_type,inferred_schedule_type,code_agegrp,code_lfact,code_totinc,code_hhtype,source_synpop_file
H2E-P1,H2E,24661476,24661476,72,H2E-P1,Male,50-54 years,University credential,Employed,"$60,000-$99,999",One-person household context,1,Couple without children,Structured workday / smaller household,7,0,2,0,syn_inds_with_hh_montreal_p24_seed42_all.parquet
H2E-P2,H2E,24661476,24661476,5,H2E-P2,Male,15-24 years,No certificate / high school or less,Not in labour force,"< $20,000",One-person household context,4,Couple with children,More daytime presence likely,2,2,0,1,syn_inds_with_hh_montreal_p24_seed42_all.parquet
H2E-P3,H2E,24660426,24660426,216,H2E-P3,Male,40-44 years,University credential,Employed,"$60,000-$99,999",One-person household context,2,One-person household,Structured workday / smaller household,5,0,2,3,syn_inds_with_hh_montreal_p24_seed42_all.parquet
H2E-P4,H2E,24660417,24660417,144,H2E-P4,Female,35-39 years,Trades or college credential,Employed,"< $20,000",One-person household context,4,One-person household,Mixed schedule,4,0,0,3,syn_inds_with_hh_montreal_p24_seed42_all.parquet
H2E-P5,H2E,24662620,24662620,59,H2E-P5,Female,65-69 years,University credential,Employed,"$20,000-$59,999",One-person household context,1,One-parent household,Structured workday / smaller household,10,0,1,2,syn_inds_with_hh_montreal_p24_seed42_all.parquet
H2G-P1,H2G,24661636,24661636,47,H2G-P1,Male,45-49 years,University credential,Employed,"$60,000-$99,999",One-person household context,1,Other household,Structured workday / smaller household,6,0,2,4,syn_inds_with_hh_montreal_p24_seed42_all.parquet
H2G-P2,H2G,24662102,24662102,49,H2G-P2,Female,60-64 years,University credential,Unemployed,"$20,000-$59,999",One-person household context,2,Couple without children,Variable schedule / employment transition,9,1,1,0,syn_inds_with_hh_montreal_p24_seed42_all.parquet
H2G-P3,H2G,24661652,24661652,135,H2G-P3,Female,55-59 years,University credential,Unemployed,"$60,000-$99,999",One-person household context,2,Couple without children,Variable schedule / employment transition,8,1,2,0,syn_inds_with_hh_montreal_p24_seed42_all.parquet
H2G-P4,H2G,24661658,24661658,228,H2G-P4,Female,45-49 years,No certificate / high school or less,Unemployed,"$60,000-$99,999",One-person household context,4,One-person household,Variable schedule / employment transition,6,1,2,3,syn_inds_with_hh_montreal_p24_seed42_all.parquet
H2G-P5,H2G,24661975,24661975,134,H2G-P5,Female,70-74 years,University credential,Employed,"$20,000-$59,999",One-person household context,1,Couple without children,Structured workday / smaller household,11,0,1,0,syn_inds_with_hh_montreal_p24_seed42_all.parquet
H2H-P1,H2H,24661811,24661811,110,H2H-P1,Male,65-69 years,Trades or college credential,Employed,"$60,000-$99,999",One-person household context,3,Couple without children,Structured workday / smaller household,10,0,2,0,syn_inds_with_hh_montreal_p24_seed42_all.parquet
H2H-P2,H2H,24662031,24662031,54,H2H-P2,Male,60-64 years,University credential,Employed,"$60,000-$99,999",One-person household context,2,Couple with children,Structured workday / smaller household,9,0,2,1,syn_inds_with_hh_montreal_p24_seed42_all.parquet
H2H-P3,H2H,24662029,24662029,1,H2H-P3,Male,55-59 years,Trades or college credential,Not in labour force,"< $20,000",One-person household context,1,Couple with children,More daytime presence likely,8,2,0,1,syn_inds_with_hh_montreal_p24_seed42_all.parquet
H2H-P4,H2H,24662031,24662031,6,H2H-P4,Male,55-59 years,No certificate / high school or less,Unemployed,"$100,000+",One-person household context,2,Other household,Variable schedule / employment transition,8,1,3,4,syn_inds_with_hh_montreal_p24_seed42_all.parquet
H2H-P5,H2H,24661808,24661808,49,H2H-P5,Female,80-84 years,University credential,Not in labour force,"$20,000-$59,999",One-person household context,1,One-parent household,More daytime presence likely,13,2,1,2,syn_inds_with_hh_montreal_p24_seed42_all.parquet
H2J-P1,H2J,24661895,24661895,145,H2J-P1,Male,40-44 years,University credential,Unemployed,"$60,000-$99,999",One-person household context,3,One-parent household,Variable schedule / employment transition,5,1,2,2,syn_inds_with_hh_montreal_p24_seed42_all.parquet
H2J-P2,H2J,24661909,24661909,2,H2J-P2,Female,60-64 years,University credential,Unemployed,"$20,000-$59,999",Non-family household context,2,Couple with children,Variable schedule / employment transition,9,1,1,1,syn_inds_with_hh_montreal_p24_seed42_all.parquet
H2J-P3,H2J,24661827,24661827,337,H2J-P3,Female,75-79 years,University credential,Not in labour force,"< $20,000",One-person household context,1,One-person household,More daytime presence likely,12,2,0,3,syn_inds_with_hh_montreal_p24_seed42_all.parquet
H2J-P4,H2J,24661899,24661899,201,H2J-P4,Female,45-49 years,University credential,Employed,"$20,000-$59,999",One-person household context,4,Couple without children,Mixed schedule,6,0,1,0,syn_inds_with_hh_montreal_p24_seed42_all.parquet
H2J-P5,H2J,24661442,24661442,682,H2J-P5,Male,70-74 years,University credential,Not in labour force,"$20,000-$59,999",Non-family household context,4,One-person household,More daytime presence likely,11,2,1,3,syn_inds_with_hh_montreal_p24_seed42_all.parquet
H2K-P1,H2K,24661786,24661786,307,H2K-P1,Female,70-74 years,University credential,Unemployed,"< $20,000",Non-family household context,2,One-person household,Variable schedule / employment transition,11,1,0,3,syn_inds_with_hh_montreal_p24_seed42_all.parquet
H2K-P2,H2K,24661783,24661783,192,H2K-P2,Female,45-49 years,No certificate / high school or less,Unemployed,"$20,000-$59,999",One-person household context,4,Couple without children,Variable schedule / employment transition,6,1,1,0,syn_inds_with_hh_montreal_p24_seed42_all.parquet
H2K-P3,H2K,24662026,24662026,74,H2K-P3,Female,40-44 years,University credential,Employed,"< $20,000",One-person household context,2,Other household,Structured workday / smaller household,5,0,0,4,syn_inds_with_hh_montreal_p24_seed42_all.parquet
H2K-P4,H2K,24661874,24661874,305,H2K-P4,Male,35-39 years,Trades or college credential,Employed,"$20,000-$59,999",One-person household context,2,One-person household,Structured workday / smaller household,4,0,1,3,syn_inds_with_hh_montreal_p24_seed42_all.parquet
H2K-P5,H2K,24661871,24661871,60,H2K-P5,Male,60-64 years,Trades or college credential,Unemployed,"$60,000-$99,999",One-person household context,2,Other household,Variable schedule / employment transition,9,1,2,4,syn_inds_with_hh_montreal_p24_seed42_all.parquet
H2L-P1,H2L,24661848,24661848,306,H2L-P1,Male,45-49 years,University credential,Employed,"$100,000+",One-person household context,2,One-person household,Structured workday / smaller household,6,0,3,3,syn_inds_with_hh_montreal_p24_seed42_all.parquet
H2L-P2,H2L,24661842,24661842,226,H2L-P2,Female,80-84 years,Trades or college credential,Employed,"$60,000-$99,999",One-person household context,1,One-person household,Structured workday / smaller household,13,0,2,3,syn_inds_with_hh_montreal_p24_seed42_all.parquet
H2L-P3,H2L,24661861,24661861,1,H2L-P3,Female,25-34 years,Trades or college credential,Not in labour force,"< $20,000",One-person household context,2,Couple with children,More daytime presence likely,3,2,0,1,syn_inds_with_hh_montreal_p24_seed42_all.parquet
H2L-P4,H2L,24663463,24663463,6,H2L-P4,Female,40-44 years,University credential,Unemployed,"$100,000+",One-person household context,2,Couple with children,Variable schedule / employment transition,5,1,3,1,syn_inds_with_hh_montreal_p24_seed42_all.parquet
H2L-P5,H2L,24663464,24663464,41,H2L-P5,Male,55-59 years,University credential,Unemployed,"< $20,000",One-person household context,3,Couple with children,Variable schedule / employment transition,8,1,0,1,syn_inds_with_hh_montreal_p24_seed42_all.parquet
H2M-P1,H2M,24662617,24662617,160,H2M-P1,Female,80-84 years,No certificate / high school or less,Employed,"< $20,000",One-person household context,2,One-parent household,Structured workday / smaller household,13,0,0,2,syn_inds_with_hh_montreal_p24_seed42_all.parquet
H2M-P2,H2M,24662601,24662601,770,H2M-P2,Male,40-44 years,University credential,Employed,"$20,000-$59,999",One-person household context,1,One-person household,Structured workday / smaller household,5,0,1,3,syn_inds_with_hh_montreal_p24_seed42_all.parquet
H2M-P3,H2M,24660498,24660498,128,H2M-P3,Female,75-79 years,University credential,Not in labour force,"< $20,000",One-person household context,3,Couple without children,More daytime presence likely,12,2,0,0,syn_inds_with_hh_montreal_p24_seed42_all.parquet
H2M-P4,H2M,24662604,24662604,18,H2M-P4,Male,15-24 years,No certificate / high school or less,Not in labour force,"< $20,000",Lone-parent or child context,3,Couple with children,More daytime presence likely,2,2,0,1,syn_inds_with_hh_montreal_p24_seed42_all.parquet
H2M-P5,H2M,24662592,24662592,115,H2M-P5,Female,Age group 16,University credential,Unemployed,"< $20,000",One-person household context,3,One-parent household,Variable schedule / employment transition,16,1,0,2,syn_inds_with_hh_montreal_p24_seed42_all.parquet
H2N-P1,H2N,24660488,24660488,23,H2N-P1,Female,40-44 years,University credential,Employed,"< $20,000",One-person household context,5+,Couple with children,Structured workday / family household,5,0,0,1,syn_inds_with_hh_montreal_p24_seed42_all.parquet
H2N-P2,H2N,24660490,24660490,139,H2N-P2,Female,60-64 years,University credential,Employed,"$20,000-$59,999",One-person household context,5+,Couple without children,Structured workday / family household,9,0,1,0,syn_inds_with_hh_montreal_p24_seed42_all.parquet
H2N-P3,H2N,24660486,24660486,362,H2N-P3,Female,60-64 years,University credential,Employed,"$20,000-$59,999",One-person household context,2,One-person household,Structured workday / smaller household,9,0,1,3,syn_inds_with_hh_montreal_p24_seed42_all.parquet
H2N-P4,H2N,24660490,24660490,259,H2N-P4,Female,75-79 years,University credential,Employed,"$20,000-$59,999",Couple family context,2,One-person household,Structured workday / smaller household,12,0,1,3,syn_inds_with_hh_montreal_p24_seed42_all.parquet
H2N-P5,H2N,24660489,24660489,226,H2N-P5,Male,75-79 years,Trades or college credential,Unemployed,"< $20,000",One-person household context,3,One-person household,Variable schedule / employment transition,12,1,0,3,syn_inds_with_hh_montreal_p24_seed42_all.parquet
H2P-P1,H2P,24660458,24660458,176,H2P-P1,Female,Age group 17,No certificate / high school or less,Unemployed,"< $20,000",One-person household context,3,One-person household,Variable schedule / employment transition,17,1,0,3,syn_inds_with_hh_montreal_p24_seed42_all.parquet
H2P-P2,H2P,24660464,24660464,124,H2P-P2,Female,40-44 years,University credential,Employed,"$20,000-$59,999",Couple family context,2,Couple without children,Structured workday / smaller household,5,0,1,0,syn_inds_with_hh_montreal_p24_seed42_all.parquet
H2P-P3,H2P,24660458,24660458,31,H2P-P3,Male,45-49 years,University credential,Unemployed,"$20,000-$59,999",One-person household context,3,Other household,Variable schedule / employment transition,6,1,1,4,syn_inds_with_hh_montreal_p24_seed42_all.parquet
H2P-P4,H2P,24660468,24660468,181,H2P-P4,Female,50-54 years,University credential,Unemployed,"< $20,000",One-person household context,2,Couple without children,Variable schedule / employment transition,7,1,0,0,syn_inds_with_hh_montreal_p24_seed42_all.parquet
H2P-P5,H2P,24660467,24660467,90,H2P-P5,Female,70-74 years,University credential,Not in labour force,"< $20,000",One-person household context,1,Couple without children,More daytime presence likely,11,2,0,0,syn_inds_with_hh_montreal_p24_seed42_all.parquet
H2R-P1,H2R,24660444,24660444,199,H2R-P1,Male,70-74 years,University credential,Unemployed,"$20,000-$59,999",One-person household context,1,One-person household,Variable schedule / employment transition,11,1,1,3,syn_inds_with_hh_montreal_p24_seed42_all.parquet
H2R-P2,H2R,24660443,24660443,46,H2R-P2,Female,55-59 years,University credential,Employed,"$60,000-$99,999",One-person household context,4,Other household,Mixed schedule,8,0,2,4,syn_inds_with_hh_montreal_p24_seed42_all.parquet
H2R-P3,H2R,24661521,24661521,207,H2R-P3,Male,85+ years,University credential,Unemployed,"$60,000-$99,999",One-person household context,5+,Other household,Variable schedule / employment transition,14,1,2,4,syn_inds_with_hh_montreal_p24_seed42_all.parquet
H2R-P4,H2R,24660443,24660443,150,H2R-P4,Female,50-54 years,Trades or college credential,Unemployed,"$100,000+",One-person household context,2,One-person household,Variable schedule / employment transition,7,1,3,3,syn_inds_with_hh_montreal_p24_seed42_all.parquet
H2R-P5,H2R,24660433,24660433,37,H2R-P5,Male,80-84 years,No certificate / high school or less,Not in labour force,"$20,000-$59,999",One-person household context,1,Other household,More daytime presence likely,13,2,1,4,syn_inds_with_hh_montreal_p24_seed42_all.parquet
H2S-P1,H2S,24661463,24661463,239,H2S-P1,Male,45-49 years,University credential,Employed,"$20,000-$59,999",One-person household context,3,One-person household,Structured workday / smaller household,6,0,1,3,syn_inds_with_hh_montreal_p24_seed42_all.parquet
H2S-P2,H2S,24661453,24661453,77,H2S-P2,Male,45-49 years,University credential,Employed,"< $20,000",One-person household context,1,One-parent household,Structured workday / smaller household,6,0,0,2,syn_inds_with_hh_montreal_p24_seed42_all.parquet
H2S-P3,H2S,24661444,24661444,745,H2S-P3,Male,50-54 years,University credential,Employed,"$60,000-$99,999",One-person household context,2,One-person household,Structured workday / smaller household,7,0,2,3,syn_inds_with_hh_montreal_p24_seed42_all.parquet
H2S-P4,H2S,24661628,24661628,228,H2S-P4,Male,40-44 years,Trades or college credential,Unemployed,"$100,000+",One-person household context,3,One-person household,Variable schedule / employment transition,5,1,3,3,syn_inds_with_hh_montreal_p24_seed42_all.parquet
H2S-P5,H2S,24661461,24661461,11,H2S-P5,Male,0-4 years,No certificate / high school or less,Not in labour force,"< $20,000",Couple family context,3,Couple with children,More daytime presence likely,0,2,0,1,syn_inds_with_hh_montreal_p24_seed42_all.parquet
H2T-P1,H2T,24661423,24661423,332,H2T-P1,Female,50-54 years,University credential,Employed,"$20,000-$59,999",Non-family household context,2,One-person household,Structured workday / smaller household,7,0,1,3,syn_inds_with_hh_montreal_p24_seed42_all.parquet
H2T-P2,H2T,24661427,24661427,390,H2T-P2,Male,35-39 years,University credential,Not in labour force,"$20,000-$59,999",Non-family household context,2,One-person household,More daytime presence likely,4,2,1,3,syn_inds_with_hh_montreal_p24_seed42_all.parquet
H2T-P3,H2T,24661432,24661432,67,H2T-P3,Female,35-39 years,University credential,Not in labour force,"$20,000-$59,999",One-person household context,2,Other household,More daytime presence likely,4,2,1,4,syn_inds_with_hh_montreal_p24_seed42_all.parquet
H2T-P4,H2T,24661391,24661391,162,H2T-P4,Female,40-44 years,No certificate / high school or less,Employed,"$20,000-$59,999",Couple family context,5+,One-person household,Structured workday / family household,5,0,1,3,syn_inds_with_hh_montreal_p24_seed42_all.parquet
H2T-P5,H2T,24661421,24661421,148,H2T-P5,Male,Age group 16,University credential,Unemployed,"$60,000-$99,999",One-person household context,2,One-person household,Variable schedule / employment transition,16,1,2,3,syn_inds_with_hh_montreal_p24_seed42_all.parquet
H2V-P1,H2V,24661409,24661409,85,H2V-P1,Female,70-74 years,University credential,Employed,"$60,000-$99,999",Couple family context,2,Other household,Structured workday / smaller household,11,0,2,4,syn_inds_with_hh_montreal_p24_seed42_all.parquet
H2V-P2,H2V,24661398,24661398,48,H2V-P2,Female,80-84 years,University credential,Unemployed,"$60,000-$99,999",One-person household context,2,Other household,Variable schedule / employment transition,13,1,2,4,syn_inds_with_hh_montreal_p24_seed42_all.parquet
H2V-P3,H2V,24661389,24661389,25,H2V-P3,Male,60-64 years,University credential,Employed,"$20,000-$59,999",One-person household context,3,Couple with children,Structured workday / smaller household,9,0,1,1,syn_inds_with_hh_montreal_p24_seed42_all.parquet
H2V-P4,H2V,24661367,24661367,352,H2V-P4,Male,45-49 years,Trades or college credential,Employed,"< $20,000",One-person household context,4,One-person household,Mixed schedule,6,0,0,3,syn_inds_with_hh_montreal_p24_seed42_all.parquet
H2V-P5,H2V,24661389,24661389,131,H2V-P5,Male,50-54 years,University credential,Employed,"$60,000-$99,999",One-person household context,5+,One-person household,Structured workday / family household,7,0,2,3,syn_inds_with_hh_montreal_p24_seed42_all.parquet
H2W-P1,H2W,24661955,24661955,130,H2W-P1,Female,45-49 years,University credential,Employed,"$20,000-$59,999",One-person household context,1,Couple without children,Structured workday / smaller household,6,0,1,0,syn_inds_with_hh_montreal_p24_seed42_all.parquet
H2W-P2,H2W,24661954,24661954,113,H2W-P2,Male,Age group 17,University credential,Unemployed,"< $20,000",One-person household context,2,One-parent household,Variable schedule / employment transition,17,1,0,2,syn_inds_with_hh_montreal_p24_seed42_all.parquet
H2W-P3,H2W,24661955,24661955,70,H2W-P3,Female,40-44 years,University credential,Unemployed,"$20,000-$59,999",One-person household context,4,One-parent household,Variable schedule / employment transition,5,1,1,2,syn_inds_with_hh_montreal_p24_seed42_all.parquet
H2W-P4,H2W,24661948,24661948,201,H2W-P4,Male,55-59 years,Trades or college credential,Unemployed,"$60,000-$99,999",One-person household context,2,One-person household,Variable schedule / employment transition,8,1,2,3,syn_inds_with_hh_montreal_p24_seed42_all.parquet
H2W-P5,H2W,24661949,24661949,66,H2W-P5,Male,80-84 years,Trades or college credential,Employed,"$20,000-$59,999",One-person household context,2,Other household,Structured workday / smaller household,13,0,1,4,syn_inds_with_hh_montreal_p24_seed42_all.parquet
H2X-P1,H2X,24663249,24663249,83,H2X-P1,Female,75-79 years,University credential,Not in labour force,"< $20,000",Couple family context,2,One-parent household,More daytime presence likely,12,2,0,2,syn_inds_with_hh_montreal_p24_seed42_all.parquet
H2X-P2,H2X,24663249,24663249,3,H2X-P2,Female,25-34 years,University credential,Not in labour force,"< $20,000",Non-family household context,2,Couple with children,More daytime presence likely,3,2,0,1,syn_inds_with_hh_montreal_p24_seed42_all.parquet
H2X-P3,H2X,24662114,24662114,583,H2X-P3,Female,15-24 years,No certificate / high school or less,Not in labour force,"< $20,000",One-person household context,4,One-person household,More daytime presence likely,2,2,0,3,syn_inds_with_hh_montreal_p24_seed42_all.parquet
H2X-P4,H2X,24661260,24661260,631,H2X-P4,Male,80-84 years,No certificate / high school or less,Employed,"$60,000-$99,999",One-person household context,2,One-person household,Structured workday / smaller household,13,0,2,3,syn_inds_with_hh_montreal_p24_seed42_all.parquet
H2X-P5,H2X,24661265,24661265,165,H2X-P5,Male,75-79 years,Trades or college credential,Unemployed,"$60,000-$99,999",One-person household context,3,One-person household,Variable schedule / employment transition,12,1,2,3,syn_inds_with_hh_montreal_p24_seed42_all.parquet
H2Y-P1,H2Y,24661255,24661255,202,H2Y-P1,Female,65-69 years,University credential,Unemployed,"< $20,000",One-person household context,2,One-person household,Variable schedule / employment transition,10,1,0,3,syn_inds_with_hh_montreal_p24_seed42_all.parquet
H2Y-P2,H2Y,24661256,24661256,223,H2Y-P2,Male,50-54 years,Trades or college credential,Employed,"$60,000-$99,999",One-person household context,2,Couple without children,Structured workday / smaller household,7,0,2,0,syn_inds_with_hh_montreal_p24_seed42_all.parquet
H2Y-P3,H2Y,24661255,24661255,6,H2Y-P3,Male,75-79 years,University credential,Not in labour force,"< $20,000",One-person household context,1,Other household,More daytime presence likely,12,2,0,4,syn_inds_with_hh_montreal_p24_seed42_all.parquet
H2Y-P4,H2Y,24661257,24661257,180,H2Y-P4,Female,35-39 years,University credential,Not in labour force,"$20,000-$59,999",One-person household context,3,One-parent household,More daytime presence likely,4,2,1,2,syn_inds_with_hh_montreal_p24_seed42_all.parquet
H2Y-P5,H2Y,24661257,24661257,57,H2Y-P5,Male,50-54 years,University credential,Unemployed,"< $20,000",One-person household context,3,One-parent household,Variable schedule / employment transition,7,1,0,2,syn_inds_with_hh_montreal_p24_seed42_all.parquet
H2Z-P1,H2Z,24662115,24662115,639,H2Z-P1,Female,45-49 years,University credential,Unemployed,"$60,000-$99,999",One-person household context,2,One-person household,Variable schedule / employment transition,6,1,2,3,syn_inds_with_hh_montreal_p24_seed42_all.parquet
H2Z-P2,H2Z,24662115,24662115,795,H2Z-P2,Male,65-69 years,University credential,Employed,"$100,000+",One-person household context,1,One-person household,Structured workday / smaller household,10,0,3,3,syn_inds_with_hh_montreal_p24_seed42_all.parquet
H2Z-P3,H2Z,24662116,24662116,23,H2Z-P3,Female,75-79 years,University credential,Employed,"< $20,000",One-person household context,1,Other household,Structured workday / smaller household,12,0,0,4,syn_inds_with_hh_montreal_p24_seed42_all.parquet
H2Z-P4,H2Z,24662115,24662115,47,H2Z-P4,Male,60-64 years,University credential,Not in labour force,"$100,000+",One-person household context,2,Other household,More daytime presence likely,9,2,3,4,syn_inds_with_hh_montreal_p24_seed42_all.parquet
H2Z-P5,H2Z,24662115,24662115,187,H2Z-P5,Female,40-44 years,University credential,Unemployed,"< $20,000",Couple family context,2,One-parent household,Variable schedule / employment transition,5,1,0,2,syn_inds_with_hh_montreal_p24_seed42_all.parquet
H3A-P1,H3A,24663460,24663460,1437,H3A-P1,Female,70-74 years,Trades or college credential,Unemployed,"$100,000+",One-person household context,2,One-person household,Variable schedule / employment transition,11,1,3,3,syn_inds_with_hh_montreal_p24_seed42_all.parquet
H3A-P2,H3A,24663460,24663460,5,H3A-P2,Female,15-24 years,No certificate / high school or less,Not in labour force,"< $20,000",Couple family context,4,Couple with children,More daytime presence likely,2,2,0,1,syn_inds_with_hh_montreal_p24_seed42_all.parquet
H3A-P3,H3A,24663459,24663459,426,H3A-P3,Female,Age group 17,Trades or college credential,Employed,"< $20,000",One-person household context,3,One-parent household,Structured workday / smaller household,17,0,0,2,syn_inds_with_hh_montreal_p24_seed42_all.parquet
H3A-P4,H3A,24663460,24663460,882,H3A-P4,Male,40-44 years,University credential,Employed,"$100,000+",One-person household context,2,One-person household,Structured workday / smaller household,5,0,3,3,syn_inds_with_hh_montreal_p24_seed42_all.parquet
H3A-P5,H3A,24663459,24663459,583,H3A-P5,Female,35-39 years,University credential,Employed,"$60,000-$99,999",One-person household context,3,One-person household,Structured workday / smaller household,4,0,2,3,syn_inds_with_hh_montreal_p24_seed42_all.parquet
H3B-P1,H3B,24662390,24662390,163,H3B-P1,Male,80-84 years,University credential,Employed,"$60,000-$99,999",Couple family context,2,One-person household,Structured workday / smaller household,13,0,2,3,syn_inds_with_hh_montreal_p24_seed42_all.parquet
H3B-P2,H3B,24661405,24661405,23,H3B-P2,Female,25-34 years,Trades or college credential,Unemployed,"$100,000+",One-person household context,5+,Couple with children,Variable schedule / employment transition,3,1,3,1,syn_inds_with_hh_montreal_p24_seed42_all.parquet
H3B-P3,H3B,24662335,24662335,92,H3B-P3,Female,45-49 years,Trades or college credential,Employed,"$20,000-$59,999",One-person household context,1,Couple without children,Structured workday / smaller household,6,0,1,0,syn_inds_with_hh_montreal_p24_seed42_all.parquet
H3B-P4,H3B,24661835,24661835,153,H3B-P4,Male,Age group 15,University credential,Unemployed,"< $20,000",One-person household context,2,One-parent household,Variable schedule / employment transition,15,1,0,2,syn_inds_with_hh_montreal_p24_seed42_all.parquet
H3B-P5,H3B,24662266,24662266,104,H3B-P5,Male,85+ years,University credential,Employed,"$100,000+",Couple family context,3,One-parent household,Structured workday / smaller household,14,0,3,2,syn_inds_with_hh_montreal_p24_seed42_all.parquet
H3C-P1,H3C,24663492,24663492,162,H3C-P1,Male,45-49 years,Trades or college credential,Not in labour force,"$60,000-$99,999",One-person household context,2,Couple without children,More daytime presence likely,6,2,2,0,syn_inds_with_hh_montreal_p24_seed42_all.parquet
H3C-P2,H3C,24663445,24663445,708,H3C-P2,Male,50-54 years,University credential,Employed,"$100,000+",One-person household context,2,One-parent household,Structured workday / smaller household,7,0,3,2,syn_inds_with_hh_montreal_p24_seed42_all.parquet
H3C-P3,H3C,24663492,24663492,514,H3C-P3,Male,55-59 years,University credential,Unemployed,"< $20,000",One-person household context,2,One-person household,Variable schedule / employment transition,8,1,0,3,syn_inds_with_hh_montreal_p24_seed42_all.parquet
H3C-P4,H3C,24663445,24663445,2471,H3C-P4,Female,40-44 years,University credential,Unemployed,"$20,000-$59,999",Non-family household context,2,One-person household,Variable schedule / employment transition,5,1,1,3,syn_inds_with_hh_montreal_p24_seed42_all.parquet
H3C-P5,H3C,24663445,24663445,1100,H3C-P5,Female,60-64 years,No certificate / high school or less,Unemployed,"$60,000-$99,999",One-person household context,3,Couple without children,Variable schedule / employment transition,9,1,2,0,syn_inds_with_hh_montreal_p24_seed42_all.parquet
H3G-P1,H3G,24661106,24661106,484,H3G-P1,Female,75-79 years,No certificate / high school or less,Not in labour force,"$20,000-$59,999",One-person household context,3,Couple without children,More daytime presence likely,12,2,1,0,syn_inds_with_hh_montreal_p24_seed42_all.parquet
H3G-P2,H3G,24663360,24663360,55,H3G-P2,Female,85+ years,University credential,Employed,"$20,000-$59,999",One-person household context,1,Couple with children,Structured workday / smaller household,14,0,1,1,syn_inds_with_hh_montreal_p24_seed42_all.parquet
H3G-P3,H3G,24661106,24661106,287,H3G-P3,Male,80-84 years,Trades or college credential,Unemployed,"$20,000-$59,999",One-person household context,2,Other household,Variable schedule / employment transition,13,1,1,4,syn_inds_with_hh_montreal_p24_seed42_all.parquet
H3G-P4,H3G,24661105,24661105,118,H3G-P4,Female,50-54 years,No certificate / high school or less,Unemployed,"$100,000+",One-person household context,5+,One-person household,Variable schedule / employment transition,7,1,3,3,syn_inds_with_hh_montreal_p24_seed42_all.parquet
H3G-P5,H3G,24663360,24663360,269,H3G-P5,Male,35-39 years,Trades or college credential,Unemployed,"$100,000+",One-person household context,2,One-parent household,Variable schedule / employment transition,4,1,3,2,syn_inds_with_hh_montreal_p24_seed42_all.parquet
H3H-P1,H3H,24661080,24661080,95,H3H-P1,Male,45-49 years,No certificate / high school or less,Employed,"$20,000-$59,999",One-person household context,1,Other household,Structured workday / smaller household,6,0,1,4,syn_inds_with_hh_montreal_p24_seed42_all.parquet
H3H-P2,H3H,24663366,24663366,39,H3H-P2,Female,35-39 years,Trades or college credential,Employed,"$20,000-$59,999",One-person household context,1,Other household,Structured workday / smaller household,4,0,1,4,syn_inds_with_hh_montreal_p24_seed42_all.parquet
H3H-P3,H3H,24661080,24661080,33,H3H-P3,Male,25-34 years,Trades or college credential,Unemployed,"$20,000-$59,999",Non-family household context,3,Other household,Variable schedule / employment transition,3,1,1,4,syn_inds_with_hh_montreal_p24_seed42_all.parquet
H3H-P4,H3H,24663438,24663438,707,H3H-P4,Male,Age group 16,No certificate / high school or less,Unemployed,"$100,000+",One-person household context,2,One-person household,Variable schedule / employment transition,16,1,3,3,syn_inds_with_hh_montreal_p24_seed42_all.parquet
H3H-P5,H3H,24663242,24663242,186,H3H-P5,Male,40-44 years,Trades or college credential,Unemployed,"$60,000-$99,999",One-person household context,2,One-parent household,Variable schedule / employment transition,5,1,2,2,syn_inds_with_hh_montreal_p24_seed42_all.parquet
H3J-P1,H3J,24661124,24661124,1265,H3J-P1,Male,65-69 years,University credential,Unemployed,"$20,000-$59,999",Lone-parent or child context,2,One-person household,Variable schedule / employment transition,10,1,1,3,syn_inds_with_hh_montreal_p24_seed42_all.parquet
H3J-P2,H3J,24661124,24661124,1329,H3J-P2,Female,45-49 years,University credential,Employed,"$20,000-$59,999",Lone-parent or child context,2,One-person household,Structured workday / smaller household,6,0,1,3,syn_inds_with_hh_montreal_p24_seed42_all.parquet
H3J-P3,H3J,24661111,24661111,99,H3J-P3,Male,70-74 years,Trades or college credential,Unemployed,"< $20,000",Lone-parent or child context,3,Other household,Variable schedule / employment transition,11,1,0,4,syn_inds_with_hh_montreal_p24_seed42_all.parquet
H3J-P4,H3J,24661124,24661124,488,H3J-P4,Male,80-84 years,Trades or college credential,Not in labour force,"< $20,000",Couple family context,2,One-parent household,More daytime presence likely,13,2,0,2,syn_inds_with_hh_montreal_p24_seed42_all.parquet
H3J-P5,H3J,24663436,24663436,173,H3J-P5,Male,75-79 years,University credential,Employed,"$60,000-$99,999",One-person household context,1,One-person household,Structured workday / smaller household,12,0,2,3,syn_inds_with_hh_montreal_p24_seed42_all.parquet
H3K-P1,H3K,24661244,24661244,134,H3K-P1,Female,70-74 years,University credential,Unemployed,"$20,000-$59,999",One-person household context,4,One-parent household,Variable schedule / employment transition,11,1,1,2,syn_inds_with_hh_montreal_p24_seed42_all.parquet
H3K-P2,H3K,24661252,24661252,503,H3K-P2,Female,50-54 years,No certificate / high school or less,Not in labour force,"< $20,000",One-person household context,4,One-person household,More daytime presence likely,7,2,0,3,syn_inds_with_hh_montreal_p24_seed42_all.parquet
